           k      D^2_lin
4.025410E-03 4.042587E-05
4.065870E-03 4.196954E-05
4.106730E-03 4.357079E-05
4.148010E-03 4.523291E-05
4.189690E-03 4.695606E-05
4.231800E-03 4.874412E-05
4.274330E-03 5.059941E-05
4.317290E-03 5.252351E-05
4.360680E-03 5.451929E-05
4.404500E-03 5.658914E-05
4.448770E-03 5.873724E-05
4.493480E-03 6.096434E-05
4.538640E-03 6.327429E-05
4.584250E-03 6.566983E-05
4.630330E-03 6.815417E-05
4.676860E-03 7.073068E-05
4.723870E-03 7.340257E-05
4.771340E-03 7.617347E-05
4.819290E-03 7.904615E-05
4.867730E-03 8.202458E-05
4.916650E-03 8.511347E-05
4.966060E-03 8.831621E-05
5.015970E-03 9.163617E-05
5.066380E-03 9.507824E-05
5.117300E-03 9.864603E-05
5.168730E-03 1.023460E-04
5.220680E-03 1.061808E-04
5.273150E-03 1.101561E-04
5.326140E-03 1.142751E-04
5.379670E-03 1.185454E-04
5.433740E-03 1.229721E-04
5.488350E-03 1.275587E-04
5.543510E-03 1.323128E-04
5.599220E-03 1.372397E-04
5.655490E-03 1.423444E-04
5.712330E-03 1.476352E-04
5.769740E-03 1.531163E-04
5.827730E-03 1.587966E-04
5.886300E-03 1.646806E-04
5.945460E-03 1.707778E-04
6.005210E-03 1.770929E-04
6.065560E-03 1.836360E-04
6.126520E-03 1.904134E-04
6.188100E-03 1.974360E-04
6.250290E-03 2.047078E-04
6.313100E-03 2.122404E-04
6.376550E-03 2.200420E-04
6.440640E-03 2.281238E-04
6.505370E-03 2.364889E-04
6.570750E-03 2.451560E-04
6.636780E-03 2.541256E-04
6.703480E-03 2.634161E-04
6.770850E-03 2.730344E-04
6.838900E-03 2.829954E-04
6.907640E-03 2.933079E-04
6.977060E-03 3.039809E-04
7.047180E-03 3.150286E-04
7.118000E-03 3.264664E-04
7.189540E-03 3.383058E-04
7.261800E-03 3.505589E-04
7.334780E-03 3.632380E-04
7.408500E-03 3.763646E-04
7.482950E-03 3.899404E-04
7.558160E-03 4.039948E-04
7.634120E-03 4.185350E-04
7.710840E-03 4.335775E-04
7.788340E-03 4.491472E-04
7.866610E-03 4.652461E-04
7.945670E-03 4.818998E-04
8.025530E-03 4.991334E-04
8.106190E-03 5.169578E-04
8.187650E-03 5.353831E-04
8.269940E-03 5.544482E-04
8.353060E-03 5.741648E-04
8.437010E-03 5.945516E-04
8.521800E-03 6.156306E-04
8.607450E-03 6.374191E-04
8.693950E-03 6.599507E-04
8.781330E-03 6.832474E-04
8.869580E-03 7.073186E-04
8.958720E-03 7.322106E-04
9.048760E-03 7.579408E-04
9.139700E-03 7.845222E-04
9.231560E-03 8.119952E-04
9.324330E-03 8.403811E-04
9.418050E-03 8.697193E-04
9.512700E-03 9.000289E-04
9.608300E-03 9.313439E-04
9.704870E-03 9.636867E-04
9.802400E-03 9.971069E-04
9.900920E-03 1.031619E-03
1.000040E-02 1.067254E-03
1.010090E-02 1.104051E-03
1.020240E-02 1.142063E-03
1.030500E-02 1.181336E-03
1.040860E-02 1.221875E-03
1.051320E-02 1.263695E-03
1.061880E-02 1.306862E-03
1.072550E-02 1.351425E-03
1.083330E-02 1.397419E-03
1.094220E-02 1.444919E-03
1.105220E-02 1.493926E-03
1.116330E-02 1.544476E-03
1.127540E-02 1.596573E-03
1.138880E-02 1.650423E-03
1.150320E-02 1.705900E-03
1.161880E-02 1.763135E-03
1.173560E-02 1.822172E-03
1.185360E-02 1.883080E-03
1.197270E-02 1.945841E-03
1.209300E-02 2.010534E-03
1.221450E-02 2.077234E-03
1.233730E-02 2.146057E-03
1.246130E-02 2.216953E-03
1.258650E-02 2.289968E-03
1.271300E-02 2.365254E-03
1.284080E-02 2.442830E-03
1.296980E-02 2.522707E-03
1.310020E-02 2.605053E-03
1.323190E-02 2.689883E-03
1.336480E-02 2.777129E-03
1.349920E-02 2.867132E-03
1.363480E-02 2.959657E-03
1.377190E-02 3.055058E-03
1.391030E-02 3.153175E-03
1.405010E-02 3.254152E-03
1.419130E-02 3.358095E-03
1.433390E-02 3.465014E-03
1.447800E-02 3.575117E-03
1.462350E-02 3.688315E-03
1.477040E-02 3.804722E-03
1.491890E-02 3.924547E-03
1.506880E-02 4.047646E-03
1.522030E-02 4.174353E-03
1.537320E-02 4.304454E-03
1.552770E-02 4.438296E-03
1.568380E-02 4.575879E-03
1.584140E-02 4.717151E-03
1.600060E-02 4.862365E-03
1.616140E-02 5.011592E-03
1.632390E-02 5.164860E-03
1.648790E-02 5.322232E-03
1.665360E-02 5.483768E-03
1.682100E-02 5.649802E-03
1.699000E-02 5.819994E-03
1.716080E-02 5.994860E-03
1.733330E-02 6.174339E-03
1.750750E-02 6.358392E-03
1.768340E-02 6.547183E-03
1.786110E-02 6.740814E-03
1.804060E-02 6.939459E-03
1.822200E-02 7.143343E-03
1.840510E-02 7.352097E-03
1.859010E-02 7.566215E-03
1.877690E-02 7.785467E-03
1.896560E-02 8.010343E-03
1.915620E-02 8.240631E-03
1.934870E-02 8.476375E-03
1.954320E-02 8.718103E-03
1.973960E-02 8.965390E-03
1.993800E-02 9.218784E-03
2.013840E-02 9.478010E-03
2.034080E-02 9.743279E-03
2.054520E-02 1.001463E-02
2.075170E-02 1.029250E-02
2.096020E-02 1.057634E-02
2.117090E-02 1.086698E-02
2.138370E-02 1.116386E-02
2.159860E-02 1.146741E-02
2.181560E-02 1.177768E-02
2.203490E-02 1.209490E-02
2.225640E-02 1.241888E-02
2.248000E-02 1.274964E-02
2.270600E-02 1.308764E-02
2.293420E-02 1.343294E-02
2.316460E-02 1.378504E-02
2.339750E-02 1.414463E-02
2.363260E-02 1.451157E-02
2.387010E-02 1.488605E-02
2.411000E-02 1.526805E-02
2.435230E-02 1.565768E-02
2.459710E-02 1.605514E-02
2.484430E-02 1.646027E-02
2.509400E-02 1.687330E-02
2.534620E-02 1.729425E-02
2.560090E-02 1.772316E-02
2.585820E-02 1.816030E-02
2.611810E-02 1.860566E-02
2.638060E-02 1.905925E-02
2.664570E-02 1.952113E-02
2.691350E-02 1.999157E-02
2.718400E-02 2.047053E-02
2.745720E-02 2.095809E-02
2.773310E-02 2.145423E-02
2.801180E-02 2.195926E-02
2.829340E-02 2.247356E-02
2.857770E-02 2.299641E-02
2.886490E-02 2.352856E-02
2.915500E-02 2.406997E-02
2.944800E-02 2.462066E-02
2.974400E-02 2.518108E-02
3.004290E-02 2.575083E-02
3.034490E-02 2.633063E-02
3.064980E-02 2.691992E-02
3.095790E-02 2.751974E-02
3.126900E-02 2.812946E-02
3.158330E-02 2.874987E-02
3.190070E-02 2.938063E-02
3.222130E-02 3.002226E-02
3.254510E-02 3.067480E-02
3.287220E-02 3.133889E-02
3.320260E-02 3.201443E-02
3.353630E-02 3.270173E-02
3.387330E-02 3.340094E-02
3.421370E-02 3.411254E-02
3.455760E-02 3.483721E-02
3.490490E-02 3.557468E-02
3.525570E-02 3.632568E-02
3.561000E-02 3.709036E-02
3.596790E-02 3.786953E-02
3.632940E-02 3.866128E-02
3.669450E-02 3.946494E-02
3.706330E-02 4.028385E-02
3.743580E-02 4.111838E-02
3.781200E-02 4.196902E-02
3.819210E-02 4.283711E-02
3.857590E-02 4.372237E-02
3.896360E-02 4.462622E-02
3.935520E-02 4.554908E-02
3.975070E-02 4.649158E-02
4.015020E-02 4.745513E-02
4.055370E-02 4.844032E-02
4.096130E-02 4.944810E-02
4.137300E-02 5.047945E-02
4.178880E-02 5.153511E-02
4.220870E-02 5.261603E-02
4.263300E-02 5.372419E-02
4.306140E-02 5.485934E-02
4.349420E-02 5.602339E-02
4.393130E-02 5.721722E-02
4.437280E-02 5.844183E-02
4.481880E-02 5.969862E-02
4.526920E-02 6.098825E-02
4.572420E-02 6.231278E-02
4.618370E-02 6.367208E-02
4.664790E-02 6.506853E-02
4.711670E-02 6.650201E-02
4.759020E-02 6.797470E-02
4.806850E-02 6.948713E-02
4.855160E-02 7.104077E-02
4.903960E-02 7.263664E-02
4.953240E-02 7.427517E-02
5.003020E-02 7.595795E-02
5.053300E-02 7.768598E-02
5.104090E-02 7.946060E-02
5.155390E-02 8.128187E-02
5.207200E-02 8.315140E-02
5.259530E-02 8.506985E-02
5.312390E-02 8.703846E-02
5.365790E-02 8.905814E-02
5.419710E-02 9.112847E-02
5.474180E-02 9.325157E-02
5.529200E-02 9.542791E-02
5.584770E-02 9.765748E-02
5.640890E-02 9.994784E-02
5.697580E-02 1.022978E-01
5.754850E-02 1.048535E-01
5.812690E-02 1.073307E-01
5.871100E-02 1.098626E-01
5.930110E-02 1.124507E-01
5.989710E-02 1.150922E-01
6.049910E-02 1.177874E-01
6.110700E-02 1.205331E-01
6.172120E-02 1.233300E-01
6.234150E-02 1.261748E-01
